pid,question,preChatQuestion,preChatResponse,preChatDomain,postChatQuestion,postChatResponse,postChatDomain,predictShared,matchType,matchedDomain,matchedIdx,matchedQuestion,matchedTolerance,groupId
5484655ffdf99b07b28f22cc,1,Do you exercise regularly?,4,arbitrary,your partner exercises regularly?,3,arbitrary,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,2,Do you enjoy being outdoors?,5,arbitrary,your partner enjoys being outdoors?,4,arbitrary,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,3,Do you work from home?,2,arbitrary,your partner works from home?,3,arbitrary,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,4,Do you go out on weekdays?,5,arbitrary,your partner goes out on weekdays?,3,arbitrary,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,5,Do you eat breakfast?,5,arbitrary,your partner eats breakfast?,3,arbitrary,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,6,Have you stayed in the same place for your entire life?,2,background,your partner has stayed in the same place for your entire life?,3,background,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,7,Did you or your family immigrate to a new country?,1,background,your partner or their family immigrated to a new country?,3,background,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,8,Do you enjoy spending time with your family?,5,background,your partner enjoys spending time with their family?,3,background,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,9,Do you live in a city?,4,background,your partner lives in a city?,3,background,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,10,Do you live in a warm climate?,2,background,your partner lives in a warm climate?,3,background,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,11,Are you a parent or caregiver?,4,identity,your partner is a parent or caregiver?,3,identity,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,12,Do you identify as the gender which you were assigned at birth?,5,identity,your partner identifies as the gender they were assigned at birth?,3,identity,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,13,Do you identify as heterosexual?,5,identity,your partner identifies as heterosexual?,3,identity,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,14,Do you feel like an outsider in your local community?,2,identity,your partner feels like an outsider in their local community?,3,identity,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,15,Are you married or dating someone?,4,identity,your partner is married or dating someone?,3,identity,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,16,Can stealing ever be justified?,2,morality,your partner believes stealing can be justified?,2,morality,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,17,Is lying acceptable?,2,morality,your partner believes lying is acceptable?,2,morality,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,18,Are people innately good?,4,morality,your partner believes people are innately good?,4,morality,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,19,Can a machine be moral?,2,morality,your partner believes a machine can be moral?,3,morality,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,20,Is it ethical to eat meat?,5,morality,your partner believes it is ethical to eat meat?,4,morality,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,21,Do you feel like the country is moving in the right direction?,4,politics,your partner believes the country is moving in the right direction?,3,politics,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,22,Do you think elected officials work to support the public's best interest?,3,politics,your partner believes elected officials work to support the public's best interest?,3,politics,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,23,Do you affiliate with any political party?,5,politics,your partner affiliates with any political party?,3,politics,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,24,Should events in politicians' personal lives impact their ability to hold public office?,5,politics,your partner believes events in politicians' personal lives should impact their ability to hold public office?,4,politics,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,25,Are you going to vote in the next election?,5,politics,your partner will vote in the next election?,3,politics,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,26,Do you enjoy museums?,5,preferences,your partner enjoys museums?,3,preferences,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,27,Do you attend live music concerts?,2,preferences,your partner attends live music concerts?,3,preferences,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,28,Do you prefer TV shows over movies?,1,preferences,your partner prefers TV shows over movies?,3,preferences,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,29,Do you enjoy reading?,4,preferences,your partner enjoys reading?,3,preferences,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,30,Do you create art?,4,preferences,your partner creates art?,3,preferences,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,31,Do you regularly attend religious services?,4,religion,your partner regularly attends religious services?,3,religion,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,32,Are you a spiritual person?,5,religion,your partner is a spiritual person?,4,religion,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,33,Are you affiliated with any organized religion?,3,religion,your partner is affiliated with any organized religion?,3,religion,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,34,Do you believe in God or a higher power?,5,religion,your partner believes in God or a higher power?,4,religion,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5484655ffdf99b07b28f22cc,35,Do you believe in an afterlife?,5,religion,your partner believes in an afterlife?,3,religion,1,random,morality,20,Is it ethical to eat meat?,2,shaky-blue
5591827dfdf99b4fccbdfb21,1,Do you exercise regularly?,1,arbitrary,your partner exercises regularly?,3,arbitrary,0,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,2,Do you enjoy being outdoors?,5,arbitrary,your partner enjoys being outdoors?,4,arbitrary,0,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,3,Do you work from home?,1,arbitrary,your partner works from home?,2,arbitrary,1,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,4,Do you go out on weekdays?,5,arbitrary,your partner goes out on weekdays?,2,arbitrary,0,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,5,Do you eat breakfast?,2,arbitrary,your partner eats breakfast?,4,arbitrary,0,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,6,Have you stayed in the same place for your entire life?,1,background,your partner has stayed in the same place for your entire life?,3,background,0,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,7,Did you or your family immigrate to a new country?,5,background,your partner or their family immigrated to a new country?,2,background,0,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,8,Do you enjoy spending time with your family?,5,background,your partner enjoys spending time with their family?,5,background,1,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,9,Do you live in a city?,1,background,your partner lives in a city?,4,background,0,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,10,Do you live in a warm climate?,1,background,your partner lives in a warm climate?,2,background,0,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,11,Are you a parent or caregiver?,4,identity,your partner is a parent or caregiver?,4,identity,0,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,12,Do you identify as the gender which you were assigned at birth?,5,identity,your partner identifies as the gender they were assigned at birth?,4,identity,1,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,13,Do you identify as heterosexual?,5,identity,your partner identifies as heterosexual?,3,identity,1,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,14,Do you feel like an outsider in your local community?,2,identity,your partner feels like an outsider in their local community?,1,identity,0,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,15,Are you married or dating someone?,1,identity,your partner is married or dating someone?,4,identity,0,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,16,Can stealing ever be justified?,4,morality,your partner believes stealing can be justified?,4,morality,1,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,17,Is lying acceptable?,3,morality,your partner believes lying is acceptable?,3,morality,0,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,18,Are people innately good?,5,morality,your partner believes people are innately good?,4,morality,1,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,19,Can a machine be moral?,1,morality,your partner believes a machine can be moral?,2,morality,1,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,20,Is it ethical to eat meat?,3,morality,your partner believes it is ethical to eat meat?,3,morality,1,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,21,Do you feel like the country is moving in the right direction?,1,politics,your partner believes the country is moving in the right direction?,2,politics,1,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,22,Do you think elected officials work to support the public's best interest?,2,politics,your partner believes elected officials work to support the public's best interest?,2,politics,1,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,23,Do you affiliate with any political party?,2,politics,your partner affiliates with any political party?,4,politics,1,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,24,Should events in politicians' personal lives impact their ability to hold public office?,4,politics,your partner believes events in politicians' personal lives should impact their ability to hold public office?,4,politics,1,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,25,Are you going to vote in the next election?,5,politics,your partner will vote in the next election?,3,politics,0,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,26,Do you enjoy museums?,5,preferences,your partner enjoys museums?,4,preferences,1,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,27,Do you attend live music concerts?,4,preferences,your partner attends live music concerts?,4,preferences,0,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,28,Do you prefer TV shows over movies?,4,preferences,your partner prefers TV shows over movies?,2,preferences,0,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,29,Do you enjoy reading?,5,preferences,your partner enjoys reading?,4,preferences,0,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,30,Do you create art?,1,preferences,your partner creates art?,2,preferences,1,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,31,Do you regularly attend religious services?,1,religion,your partner regularly attends religious services?,4,religion,0,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,32,Are you a spiritual person?,5,religion,your partner is a spiritual person?,4,religion,1,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,33,Are you affiliated with any organized religion?,4,religion,your partner is affiliated with any organized religion?,4,religion,1,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,34,Do you believe in God or a higher power?,5,religion,your partner believes in God or a higher power?,4,religion,1,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
5591827dfdf99b4fccbdfb21,35,Do you believe in an afterlife?,5,religion,your partner believes in an afterlife?,4,religion,0,random,arbitrary,4,Do you go out on weekdays?,1,sunny-apricot
