focal_stance_revealed,initial_alignment,initial_alignment_reasoning,last_stance_message,n_post_stance_messages,post_stance_common_ground,common_ground_type,common_ground_reasoning,common_ground_description,post_stance_differences,post_stance_differences_description,group_id,time_bin,time_seconds,matchedQuestion,matchedDomain,matchedTolerance,stance,pct_expect_commonality
False,not_discussed,"The participants have only exchanged greetings and Dog has just asked the focal question, but neither participant has stated their position yet.",,0,False,none,"Stances have not been established yet, so there is no post-stance conversation to analyze.",none,False,none,protestant-brown,2,45,Do you regularly attend religious services?,religion,1,shared,1.0
True,agreement,Dog explicitly states 'I'm going to vote in the next election!' and Cat immediately agrees by responding 'I'm also going to vote'.,Dog: Yay!,10,True,related_subtopic,"In the post-stance conversation, they bond over closely related political subtopics, specifically the frustration that individual votes don't seem to count ('Yeah I can understand the frustration!') and the fact that politics are extremely complex ('Yeah, politics are especially complicated these days, it's nuts').","They found common ground in their shared frustration with the political system (feeling like votes don't count) and their agreement that politics are highly complicated, while sharing the mutual goal of just doing their best.",False,No additional differences or disagreements emerged in the conversation so far.,wittering-apricot,11,180,Are you going to vote in the next election?,politics,0,shared,1.0
False,unclear,"Dog explicitly states they are bisexual and do not identify as heterosexual. However, Cat responds supportively without ever revealing their own sexual orientation or position on the focal question.",,0,False,none,"Since both participants have not yet revealed their stances, there is no post-stance conversation to analyze.",none,False,none,busy-sapphire,9,150,Do you identify as heterosexual?,identity,4,opposing,0.0
False,not_discussed,"The conversation only consists of introductory greetings ('hello', 'Hi there'). Neither participant has revealed their stance on feeling like an outsider in their local community.",,0,False,none,"Stances have not been established yet, so there is no post-stance conversation to analyze.",none,False,none,formal-amethyst,1,30,Do you feel like an outsider in your local community?,identity,1,shared,1.0
False,not_discussed,The participants have only exchanged greetings and have not discussed the focal topic yet.,,0,False,none,"Stances have not been established yet, so there is no post-stance conversation.",none,False,none,equivalent-brown,1,30,Do you exercise regularly?,arbitrary,1,shared,0.5
True,agreement,"Cat stated 'Mine was definitely yes' and Dog responded with 'I plan to vote... I answered the most enthusiastic yes' and 'Perfect. Same answer', showing clear agreement on their intention to vote.",Perfect. Same answer,0,False,none,There are no post-stance messages in the conversation fragment provided.,None,False,None,key-magenta,3,60,Are you going to vote in the next election?,politics,0,shared,1.0
False,not_discussed,"Dog asks the focal question but does not share their own position. Only Cat reveals their stance, stating they enjoy spending time with their family.",,0,False,none,"Stances have not been established yet, so there is no post-stance conversation to analyze.",N/A,False,N/A,progressive-green,3,60,Do you enjoy spending time with your family?,background,0,shared,1.0
True,agreement,Both participants explicitly state that they are not parents or caregivers in their opening messages.,Hi I am not either,3,False,none,"The participants move on to discuss a related subtopic (whether they want to be parents in the future). However, while Dog shares their perspective ('eventually, but not anytime soon'), Cat has not yet shared theirs. Therefore, no common ground has been established in the post-stance conversation so far.",None discovered in the post-stance conversation so far.,False,No additional differences have emerged so far.,marxist-scarlet,3,60,Are you a parent or caregiver?,identity,0,shared,1.0
False,not_discussed,"Dog has revealed their stance on going out on weekdays, but Cat has only said 'Hello' and has not yet shared their position.",,0,False,none,"Stances have not been established yet, so there is no post-stance conversation.",N/A,False,N/A,sunny-apricot,4,75,Do you go out on weekdays?,arbitrary,1,shared,0.5
True,disagreement,Dog states 'I think a amchine could be moral' while Cat explicitly states 'I think that a machine cannot be moral'.,why did you think so,0,False,none,"The available conversation ends with Dog's immediate reaction to Cat's stance, meaning there is no post-stance conversation to analyze yet.",none,False,none,yucky-lavender,12,195,Can a machine be moral?,morality,4,opposing,0.5
True,disagreement,"Dog indicates affiliation with an organized religion ('Roman Catholic'), while Cat explicitly states, 'I do not have a religion,' showing disagreement on the focal question.","Cat: I do not have a religion, but I am a deist.",15,False,none,"In the post-stance conversation, Dog only asks probing and clarifying questions about Cat's deist beliefs and views on HAARP, without sharing their own perspectives or discovering shared values.",No common ground was found so far.,False,"No additional differences emerged, as Dog simply asked questions to understand Cat's beliefs rather than stating any counterarguments or differing beliefs.",quickest-tan,11,180,Are you affiliated with any organized religion?,religion,3,opposing,0.0
True,agreement,"Both participants state that they do not currently create art. Dog mentions 'I don't really create art,' and Cat replies 'Me too'.","Cat: Me too, I dont want to either.",1,False,none,"There is only one message in the post-stance phase from Dog, and Cat has not yet replied. No new shared beliefs or values have been discovered.",none,True,"Dog highlights a difference in their attitude towards creating art in the future; while Cat explicitly stated they 'dont want to either', Dog counters with 'Well I don't think it would be a bad idea. I fear failure', showing Dog is open to it but held back by fear rather than lack of desire.",combative-ivory,4,75,Do you create art?,preferences,0,shared,1.0
